Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices,City
Alexandria Corniche - Camp Caesar Apartment,https://www.booking.com/hotel/eg/alexandria-corniche-camp-caesar-apartment.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1628957601_433488625_4_0_0&highlighted_blocks=1628957601_433488625_4_0_0&matching_block_id=1628957601_433488625_4_0_0&sr_pri_blocks=1628957601_433488625_4_0_0__8000&from=searchresults,One-Bedroom Apartment Bedroom 1: 2 twin beds and 3 full beds Living room: 1 sofa bed 120 m² Private kitchen Balcony View Air conditioning Flat-screen TV Coffee machine Free Wifi Hot tub Kitchen Washing machine Towels Linens High chair TV Refrigerator Ironing facilities Tea/Coffee maker Iron Interconnecting room(s) available Microwave Heating Kitchenware Towels/Sheets (extra fee) Wake-up service/Alarm clock Electric kettle Outdoor furniture Outdoor dining area Oven Clothes rack Drying rack for clothing Child safety socket covers Sofa bed Single-room AC for guest accommodation Air purifiers Hand sanitizer | One-Bedroom Apartment | Bedroom 1: 2 twin beds and 3 full beds Living room: 1 sofa bed | Bedroom 1: 2 twin beds and 3 full beds | Bedroom 1: | 2 twin beds | 3 full beds | Living room: 1 sofa bed | Living room: | 1 sofa bed | 120 m² Private kitchen Balcony View Air conditioning Flat-screen TV Coffee machine Free Wifi Hot tub Kitchen Washing machine Towels Linens High chair TV Refrigerator Ironing facilities Tea/Coffee maker Iron Interconnecting room(s) available Microwave Heating Kitchenware Towels/Sheets (extra fee) Wake-up service/Alarm clock Electric kettle Outdoor furniture Outdoor dining area Oven Clothes rack Drying rack for clothing Child safety socket covers Sofa bed Single-room AC for guest accommodation Air purifiers Hand sanitizer | 120 m² Private kitchen Balcony View Air conditioning Flat-screen TV Coffee machine Free Wifi | 120 m² | Private kitchen | Balcony | View | Air conditioning | Flat-screen TV | Coffee machine | Free Wifi | Hot tub Kitchen Washing machine Towels Linens High chair TV Refrigerator Ironing facilities Tea/Coffee maker Iron Interconnecting room(s) available Microwave Heating Kitchenware Towels/Sheets (extra fee) Wake-up service/Alarm clock Electric kettle Outdoor furniture Outdoor dining area Oven Clothes rack Drying rack for clothing Child safety socket covers Sofa bed Single-room AC for guest accommodation Air purifiers Hand sanitizer | Hot tub | Kitchen | Washing machine | Towels | Linens | High chair | TV | Refrigerator | Ironing facilities | Tea/Coffee maker | Iron | Interconnecting room(s) available | Microwave | Heating | Kitchenware | Towels/Sheets (extra fee) | Wake-up service/Alarm clock | Electric kettle | Outdoor furniture | Outdoor dining area | Oven | Clothes rack | Drying rack for clothing | Child safety socket covers | Sofa bed | Single-room AC for guest accommodation | Air purifiers | Hand sanitizer,Max. people: 4,"EGP 4,282","Free cancellation before July 9, 2026 No prepayment needed – pay at the property | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed",alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,Budget Double Room 2 twin beds 1 room 25 m² Air conditioning Private bathroom Flat-screen TV Soundproof Toilet Bathtub or shower Towels Linens Slippers Iron Hairdryer Wake-up service/Alarm clock Electric kettle Wake-up service Detached Private apartment in building Toilet paper | Budget Double Room | 2 twin beds | 1 room 25 m² Air conditioning Private bathroom Flat-screen TV Soundproof Toilet Bathtub or shower Towels Linens Slippers Iron Hairdryer Wake-up service/Alarm clock Electric kettle Wake-up service Detached Private apartment in building Toilet paper | 1 room 25 m² Air conditioning Private bathroom Flat-screen TV Soundproof | 1 room | 25 m² | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | Toilet Bathtub or shower Towels Linens Slippers Iron Hairdryer Wake-up service/Alarm clock Electric kettle Wake-up service Detached Private apartment in building Toilet paper | Toilet | Bathtub or shower | Towels | Linens | Slippers | Iron | Hairdryer | Wake-up service/Alarm clock | Electric kettle | Wake-up service | Detached | Private apartment in building | Toilet paper,,"EGP 8,285",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,,Max. people: 2,"EGP 9,942 | EGP 13,256 | EGP 16,570 | EGP 21,541",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,Loft 1 king bed Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Loft | 1 king bed | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Entire studio | 27 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,,"EGP 11,047",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,Junior Suite with Balcony 1 king bed Private suite 32 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Junior Suite with Balcony | 1 king bed | Private suite 32 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Private suite 32 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Private suite | 32 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,,"EGP 11,047",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,Studio with Sea View 1 king bed Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Studio with Sea View | 1 king bed | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Entire studio | 27 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,,"EGP 13,808",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,Junior Suite with Sea View 1 king bed Private suite 30 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Junior Suite with Sea View | 1 king bed | Private suite 30 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Private suite 30 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Private suite | 30 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,,"EGP 13,808",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,King Suite with Balcony 1 king bed Private suite 40 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | King Suite with Balcony | 1 king bed | Private suite 40 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Private suite 40 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Private suite | 40 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,,"EGP 13,808",,alexandria
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__15480&from=searchresults,King Suite with Sea View 1 king bed Private suite 40 m² Private kitchenette Private bathroom Balcony Air conditioning Flat-screen TV Soundproof More | King Suite with Sea View | 1 king bed | Private suite 40 m² Private kitchenette Private bathroom Balcony Air conditioning Flat-screen TV Soundproof More | Private suite 40 m² Private kitchenette Private bathroom Balcony Air conditioning Flat-screen TV Soundproof | Private suite | 40 m² | Private kitchenette | Private bathroom | Balcony | Air conditioning | Flat-screen TV | Soundproof | More,,"EGP 17,951",,alexandria
Modern Apartment with Sea View - Alexandria,https://www.booking.com/hotel/eg/modern-apartment-with-sea-view-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALvvNnPBsACAdICJGI3OWRhMjhlLTQ4YzMtNDU5Mi1hZGNkLTEzNDNiODk2ZTNlYdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=b4918ff791bc0f60&srepoch=1777753715&all_sr_blocks=1628915701_433486149_5_0_0&highlighted_blocks=1628915701_433486149_5_0_0&matching_block_id=1628915701_433486149_5_0_0&sr_pri_blocks=1628915701_433486149_5_0_0__10000&from=searchresults,Three-Bedroom Apartment Bedroom 1: 1 twin bed and 2 full beds Bedroom 2: 2 full beds Bedroom 3: 2 full beds Living room: 3 sofa beds Living room: 9 sofa beds 120 m² Private kitchen Balcony View Air conditioning Flat-screen TV Minibar Free Wifi Kitchen Washing machine Shared bathroom Heating | Three-Bedroom Apartment | Bedroom 1: 1 twin bed and 2 full beds Bedroom 2: 2 full beds Bedroom 3: 2 full beds Living room: 3 sofa beds Living room: 9 sofa beds | Bedroom 1: 1 twin bed and 2 full beds | Bedroom 1: | 1 twin bed | 2 full beds | Bedroom 2: 2 full beds | Bedroom 2: | Bedroom 3: 2 full beds | Bedroom 3: | Living room: 3 sofa beds | Living room: | 3 sofa beds | Living room: 9 sofa beds | 9 sofa beds | 120 m² Private kitchen Balcony View Air conditioning Flat-screen TV Minibar Free Wifi Kitchen Washing machine Shared bathroom Heating | 120 m² Private kitchen Balcony View Air conditioning Flat-screen TV Minibar Free Wifi | 120 m² | Private kitchen | Balcony | View | Air conditioning | Flat-screen TV | Minibar | Free Wifi | Kitchen Washing machine Shared bathroom Heating | Kitchen | Washing machine | Shared bathroom | Heating,× 5 Max. people: 5,"EGP 5,352","Free cancellation before July 9, 2026 No prepayment needed – pay at the property | Free cancellation before July 9, 2026 | Free cancellation | No prepayment needed – pay at the property | No prepayment needed",alexandria
