Hotel Name,Price,Review Score (/10),Hotel URL,Description,Latitude,Longitude,Distance (km)
Tolip Hotel Alexandria,413,8.2,https://www.booking.com/hotel/eg/royal-tulip-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=78883120_406187102_2_33_0_131741&highlighted_blocks=78883120_406187102_2_33_0_131741&matching_block_id=78883120_406187102_2_33_0_131741&sr_pri_blocks=78883120_406187102_2_33_0_131741_41250&from=searchresults,"This 5-star hotel in Alexandria offers an outdoor pool, a spa and a gym. It features modern accommodations with views of the sea or city. Free Wi-Fi is available in public areas.

Air-conditioned rooms are equipped with a mini-bar and flat-screen satellite TV. Each suite comes with a living room and a dining table. Featuring a bathtub and shower, private bathrooms are stocked with free toiletries. All rooms have a balcony.

Guests can choose to dine at any of the hotel’s 9 dining outlets, which serve a variety of cuisine ranging from local to international. The pool bars are an ideal place for relaxation.

The hotel is 1312 feet from Al-Salam Theater and Stanley Bridge, and is 0.9 mi from Sidi Gaber Railway Station. Borg el Arab International Airport is 26 mi away. The property offers parking at an extra cost. | Couples in particular like the location – they rated it 9.1 for a two-person trip. | Distance in property description is calculated using © OpenStreetMap | We have an instant answer to most questions | Children of all ages are welcome. | Children 12 and above will be charged as adults at this property.",31.231793499770284,29.94602680206299,180.59
grey l studio apartments Corniche Alexandria,142,8.6,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,"Comfortable Accommodations: Gray L Studio Apartments Corniche Alexandria in Alexandria offers spacious apartments with terraces. Each unit features air-conditioning, a private bathroom with a walk-in shower, and a fully equipped kitchenette.

Convenient Facilities: Guests benefit from a elevator, 24-hour front desk, daily housekeeping service, family rooms, and full-day security. Additional amenities include a balcony, sofa bed, and soundproofing.

 Located 30 mi from Borg el Arab International Airport, the apartment is near Shatibi Beach (1.1 mi), Alexandrina Library (14-minute walk), and Alexandria Stadium (1.2 mi). Nearby attractions include the Graeco-Roman Museum and Alexandria Zoo.

 Highly rated for room cleanliness, convenient location, and room comfort.",31.202373,29.9014809,181.23
Royal jewel Al-Raml Hotel,400,8.0,https://www.booking.com/hotel/eg/royal-jewel-al-raml-tn-lrml.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1589544407_431821946_2_1_0&highlighted_blocks=1589544407_431821946_2_1_0&matching_block_id=1589544407_431821946_2_1_0&sr_pri_blocks=1589544407_431821946_2_1_0__40000&from=searchresults,"Comfortable Accommodations: Royal Jewel Al-Raml Hotel in Alexandria offers family rooms with sea, garden, or city views. Each room includes air-conditioning, a private bathroom, and modern amenities.

Exceptional Facilities: Guests can enjoy a fitness center, sun terrace, and lush garden. The hotel features a restaurant serving halal meals in a modern, family-friendly setting. Free WiFi is available throughout the property.

Convenient Location: Located 1.1 mi from Shatibi Beach and near attractions such as the Alexandrina Library and Alexandria Stadium. The Borg El Arab International Airport is 29 mi away. A supermarket is located in the surroundings.",31.2024532,29.9032615,181.11
Rixos Montaza Alexandria,779,9.1,https://www.booking.com/hotel/eg/rixos-montaza-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1323631801_405027592_2_1_0&highlighted_blocks=1323631801_405027592_2_1_0&matching_block_id=1323631801_405027592_2_1_0&sr_pri_blocks=1323631801_405027592_2_1_0__77850&from=searchresults,"Prime Location: Rixos Montaza Alexandria in Alexandria offers a convenient location with Montazah Aida Beach a 9-minute walk away. Nearby attractions include Sidi Gaber Railway Station (6.8 mi) and Alexandria Zoo (8.1 mi). Borg el Arab International Airport is 39 mi from the hotel.

Exceptional Facilities: Guests enjoy a private beach area, beachfront, spa facilities, sauna, fitness center, garden, restaurant, bar, seasonal outdoor swimming pool, and indoor swimming pool. Free WiFi is available throughout the property.

Comfortable Accommodations: Rooms feature air-conditioning, bathrobes, hairdryer, free toiletries, mini-bar, shower, slippers, soundproofing, electric kettle, wardrobe, sea views, balcony, private pool, tea and coffee maker, garden views, dining table, and TV.

 The family-friendly restaurant serves international cuisine with halal options. Breakfast includes fresh pastries, pancakes, cheese, and fruits. Lunch and dinner are available in traditional, modern, and romantic settings.",31.288405,30.015993,180.78
ابراج المنتزه,150,7.4,https://www.booking.com/hotel/eg/brj-lmntzh-wl-lmntzh.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1565663301_427807349_4_0_0&highlighted_blocks=1565663301_427807349_4_0_0&matching_block_id=1565663301_427807349_4_0_0&sr_pri_blocks=1565663301_427807349_4_0_0__15000&from=searchresults,"Spacious Apartment in Alexandria: ابراج المنتزه offers a spacious apartment in Alexandria, Egypt. The property features one bedroom, one bathroom, and a comfortable living room.

Modern Amenities: Guests enjoy free WiFi in public areas, air-conditioning, a terrace, balcony, washing machine, fully equipped kitchen, and TV.

Convenient Location: Located 34 mi from Borg el Arab International Airport, the apartment is a 5-minute walk from Miami Beach. Nearby attractions include Sidi Gaber Railway Station (5 mi), Alexandria Zoo (6.2 mi), and the Graeco-Roman Museum (7.5 mi).",31.2686271,29.9919935,180.63
Jewel San Stefano Hotel,175,6.1,https://www.booking.com/hotel/eg/jewel.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=573396310_368810480_2_1_0&highlighted_blocks=573396310_368810480_2_1_0&matching_block_id=573396310_368810480_2_1_0&sr_pri_blocks=573396310_368810480_2_1_0__17500&from=searchresults,"Jewel San Stefano Hotel features a restaurant, bar, a shared lounge and garden in Alexandria. Featuring family rooms, this property also provides guests with a terrace. The accommodations provides a 24-hour front desk, airport transfers, room service.

All units are equipped with air conditioning, a flat-screen TV with satellite channels, a kettle, a hairdryer and a wardrobe.

A continental breakfast is available daily at the hotel.

The nearest airport is Borg el Arab International Airport, 38 mi from the accommodations.

The hotel is located directly on the Alexandria Corniche. It has a private beach, but it's availability depends on weather conditions, a few yards away. Next to the luxurious San Stefano Mall.

A range of international dishes are served in the evening. The morning breakfast is an open buffet.
There is no spa and no gym.

The outdoor parking is on the other side 1476 feet from the hotel.

Driver service is not always available. Please check in advance. | We have an instant answer to most questions | Children over 1 are welcome. | Children 13 and above will be charged as adults at this property. | To see correct prices and occupancy info, add the number and ages of children in your group to your search. | Prices for extra beds aren't included in the total price. They'll have to be paid for separately during your stay.",31.24801069954418,29.967924543428353,180.48
Ramsis Hotel,261,8.4,https://www.booking.com/hotel/eg/fndq-rmsys.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1557865901_426897525_2_1_0&highlighted_blocks=1557865901_426897525_2_1_0&matching_block_id=1557865901_426897525_2_1_0&sr_pri_blocks=1557865901_426897525_2_1_0__26100&from=searchresults,"Comfortable Accommodations: Rooms feature air-conditioning, private bathrooms with bidets, balconies, terraces, and free toiletries. Each room includes a dining table, sofa bed, TV, electric kettle, and wardrobe.

Dining and Leisure: The hotel offers a restaurant and bar, complemented by a 24-hour front desk and room service. Guests can relax on the terrace or balcony while enjoying meals and refreshments.

Prime Location: Located in Alexandria, the hotel is a 14-minute walk from Shatibi Beach and 2297 feet from Alexandrina Library. Nearby attractions include the Alexandria Stadium (1.2 mi) and the Graeco-Roman Museum (1.6 mi). Borg el Arab International Airport is 29 mi away.",31.2053491783131,29.9050698649,181.22
Hayah Waterfalls Hotels,118,7.6,https://www.booking.com/hotel/eg/hayah-waterfalls-hotels.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1460881307_417385519_2_0_0&highlighted_blocks=1460881307_417385519_2_0_0&matching_block_id=1460881307_417385519_2_0_0&sr_pri_blocks=1460881307_417385519_2_0_0__11776&from=searchresults,"Comfortable Accommodations: Hayah Waterfalls Hotels in Alexandria offers comfortable rooms with air-conditioning, private bathrooms, and sea or city views. Each room includes a shower, electric kettle, bathrobes, and a seating area.

Convenient Facilities: Guests benefit from a 24-hour front desk, full-day security, and room service. Additional amenities include a terrace, balcony, hairdryer, TV, and sofa.

Prime Location: Located 3 minutes from Al Ibrahimiyyah Beach and 1.2 mi from Sidi Gaber Railway Station. Nearby attractions include Alexandria Zoo (2.9 mi) and the Alexandrina Library (2.2 mi). Borg el Arab International Airport is 32 mi away.",31.2190837,29.9281204,180.76
Alex inn Rooms,80,6.6,https://www.booking.com/hotel/eg/alex-inn-rooms.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1538799706_425308342_2_0_0&highlighted_blocks=1538799706_425308342_2_0_0&matching_block_id=1538799706_425308342_2_0_0&sr_pri_blocks=1538799706_425308342_2_0_0__8000&from=searchresults,"Comfortable Accommodations: Alex inn Rooms in Alexandria offers a hostel experience with free WiFi, air-conditioning, and private bathrooms with showers. Each room includes a balcony, bath, and electric kettle, ensuring a pleasant stay.

Convenient Facilities: Guests benefit from a 24-hour front desk and reception staff who speak Arabic and English. Additional amenities include a 3-minute walk to Al Ibrahimiyyah Beach, 1.1 mi to Alexandria Sporting Club, and 1.1 mi to Alexandrina Library.

 Nearby points of interest include the Graeco-Roman Museum of Alexandria (1.9 mi), Alexandria Zoo (2.5 mi), and Borg el Arab International Airport (29 mi). Sidi Gaber Railway Station is 1.4 mi away, providing easy access to the city.",31.2149408654561,29.9218127594127,180.85
Luxurious apartment in Antonyadis compound Alexandria for rent شقه فاخرة تلات غرف كمبوند انطونيادس,1449,N/A,https://www.booking.com/hotel/eg/shqh-rqyh-bsmwhh-ntwnyds-llyjr.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1301252701_403013638_2_0_0&highlighted_blocks=1301252701_403013638_2_0_0&matching_block_id=1301252701_403013638_2_0_0&sr_pri_blocks=1301252701_403013638_2_0_0__144900&from=searchresults,"Modern Comforts: The Luxurious apartment in Antonyadis compound Alexandria offers a private bathroom, terrace, balcony, kitchen, and garden views. Guests can enjoy a TV for entertainment.

Outdoor Spaces: A spacious garden and terrace provide relaxing outdoor areas. The terrace is perfect for leisure and dining.

 Free on-site private parking is available. The apartment includes a fully equipped kitchen, ensuring a comfortable stay.

 Located in Alexandria, the apartment is 31 mi from Borg el Arab International Airport. Nearby attractions include Alexandria Zoo, a 17-minute walk away, and Sidi Gaber Railway Station, 2.8 mi distant.",31.2010791722182,29.9566340311516,177.43
