Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
Royal jewel Al-Raml Hotel,https://www.booking.com/hotel/eg/royal-jewel-al-raml-tn-lrml.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1589544407_431821946_2_1_0&highlighted_blocks=1589544407_431821946_2_1_0&matching_block_id=1589544407_431821946_2_1_0&sr_pri_blocks=1589544407_431821946_2_1_0__40000&from=searchresults,Standard Double Room with City View 2 twin beds 1 room 45 m² City view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi Safe Toilet Bathtub or shower Towels Linens Socket near the bed TV Slippers Satellite channels Hairdryer Carpeted Electric kettle Wake-up service Wardrobe or closet Dining table Upper floors accessible by elevator Upper floors accessible by stairs only Clothes rack Toilet paper Entire unit wheelchair accessible Single-room AC for guest accommodation | Standard Double Room with City View | 2 twin beds | 1 room 45 m² City view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi Safe Toilet Bathtub or shower Towels Linens Socket near the bed TV Slippers Satellite channels Hairdryer Carpeted Electric kettle Wake-up service Wardrobe or closet Dining table Upper floors accessible by elevator Upper floors accessible by stairs only Clothes rack Toilet paper Entire unit wheelchair accessible Single-room AC for guest accommodation | 1 room 45 m² City view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | 1 room | 45 m² | City view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | Safe Toilet Bathtub or shower Towels Linens Socket near the bed TV Slippers Satellite channels Hairdryer Carpeted Electric kettle Wake-up service Wardrobe or closet Dining table Upper floors accessible by elevator Upper floors accessible by stairs only Clothes rack Toilet paper Entire unit wheelchair accessible Single-room AC for guest accommodation | Safe | Toilet | Bathtub or shower | Towels | Linens | Socket near the bed | TV | Slippers | Satellite channels | Hairdryer | Carpeted | Electric kettle | Wake-up service | Wardrobe or closet | Dining table | Upper floors accessible by elevator | Upper floors accessible by stairs only | Clothes rack | Toilet paper | Entire unit wheelchair accessible | Single-room AC for guest accommodation,Max. people: 2,"EGP 21,088","Good breakfast included Free cancellation before July 7, 2026 • Pay nothing until July 5, 2026 • We have 1 left | Good breakfast included | Good breakfast | Free cancellation before July 7, 2026 | Free cancellation | • Pay nothing until July 5, 2026 | • | Pay nothing until July 5, 2026 | • We have 1 left | We have 1 left"
Royal jewel Al-Raml Hotel,https://www.booking.com/hotel/eg/royal-jewel-al-raml-tn-lrml.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1589544407_431821946_2_1_0&highlighted_blocks=1589544407_431821946_2_1_0&matching_block_id=1589544407_431821946_2_1_0&sr_pri_blocks=1589544407_431821946_2_1_0__40000&from=searchresults,Superior room with Side Sea View 2 twin beds 1 room 45 m² Balcony Garden view Air conditioning Attached bathroom Flat-screen TV Terrace Minibar Free Wifi More | Superior room with Side Sea View | 2 twin beds | 1 room 45 m² Balcony Garden view Air conditioning Attached bathroom Flat-screen TV Terrace Minibar Free Wifi More | 1 room 45 m² Balcony Garden view Air conditioning Attached bathroom Flat-screen TV Terrace Minibar Free Wifi | 1 room | 45 m² | Balcony | Garden view | Air conditioning | Attached bathroom | Flat-screen TV | Terrace | Minibar | Free Wifi | More,Max. people: 2,"EGP 25,042","Good breakfast included Free cancellation before July 7, 2026 • Pay nothing until July 5, 2026 • We have 2 left | Good breakfast included | Good breakfast | Free cancellation before July 7, 2026 | Free cancellation | • Pay nothing until July 5, 2026 | • | Pay nothing until July 5, 2026 | • We have 2 left | We have 2 left"
Royal jewel Al-Raml Hotel,https://www.booking.com/hotel/eg/royal-jewel-al-raml-tn-lrml.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1589544407_431821946_2_1_0&highlighted_blocks=1589544407_431821946_2_1_0&matching_block_id=1589544407_431821946_2_1_0&sr_pri_blocks=1589544407_431821946_2_1_0__40000&from=searchresults,Suite with Sea View 1 queen bed Private suite 70 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | Suite with Sea View | 1 queen bed | Private suite 70 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi More | Private suite 70 m² Sea view Air conditioning Attached bathroom Flat-screen TV Minibar Free Wifi | Private suite | 70 m² | Sea view | Air conditioning | Attached bathroom | Flat-screen TV | Minibar | Free Wifi | More,Max. people: 2,"EGP 32,950","Good breakfast included Free cancellation before July 7, 2026 • Pay nothing until July 5, 2026 • We have 1 left | Good breakfast included | Good breakfast | Free cancellation before July 7, 2026 | Free cancellation | • Pay nothing until July 5, 2026 | • | Pay nothing until July 5, 2026 | • We have 1 left | We have 1 left"
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,Budget Double Room 2 twin beds 1 room 25 m² Air conditioning Private bathroom Flat-screen TV Soundproof Toilet Bathtub or shower Towels Linens Slippers Iron Hairdryer Wake-up service/Alarm clock Electric kettle Wake-up service Detached Private apartment in building Toilet paper | Budget Double Room | 2 twin beds | 1 room 25 m² Air conditioning Private bathroom Flat-screen TV Soundproof Toilet Bathtub or shower Towels Linens Slippers Iron Hairdryer Wake-up service/Alarm clock Electric kettle Wake-up service Detached Private apartment in building Toilet paper | 1 room 25 m² Air conditioning Private bathroom Flat-screen TV Soundproof | 1 room | 25 m² | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | Toilet Bathtub or shower Towels Linens Slippers Iron Hairdryer Wake-up service/Alarm clock Electric kettle Wake-up service Detached Private apartment in building Toilet paper | Toilet | Bathtub or shower | Towels | Linens | Slippers | Iron | Hairdryer | Wake-up service/Alarm clock | Electric kettle | Wake-up service | Detached | Private apartment in building | Toilet paper,N/A,"EGP 7,508",N/A
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,N/A,Max. people: 2,"EGP 9,793 | EGP 13,058 | EGP 16,322 | EGP 21,219",N/A
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,Loft 1 king bed Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Loft | 1 king bed | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Entire studio | 27 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,N/A,"EGP 10,011",N/A
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,Junior Suite with Balcony 1 king bed Private suite 32 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Junior Suite with Balcony | 1 king bed | Private suite 32 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Private suite 32 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Private suite | 32 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,N/A,"EGP 10,011",N/A
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,Studio with Sea View 1 king bed Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Studio with Sea View | 1 king bed | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Entire studio 27 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Entire studio | 27 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,N/A,"EGP 12,514",N/A
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,Junior Suite with Sea View 1 king bed Private suite 30 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Junior Suite with Sea View | 1 king bed | Private suite 30 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Private suite 30 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Private suite | 30 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,N/A,"EGP 12,514",N/A
grey l studio apartments Corniche Alexandria,https://www.booking.com/hotel/eg/grey-l-studio-apartments-corniche-alexandria.html?aid=304142&label=gen173nr-10CAQoggJCEXNlYXJjaF9hbGV4YW5kcmlhSDFYBGhDiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuALnioHQBsACAdICJDgzY2IyODVhLTk4ZDYtNDJiMS1hZDEzLWUyNWM2NjlkZjBhMdgCAeACAQ&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=05943d73ca4104ad&srepoch=1778402679&all_sr_blocks=1311608120_403940546_2_0_0&highlighted_blocks=1311608120_403940546_2_0_0&matching_block_id=1311608120_403940546_2_0_0&sr_pri_blocks=1311608120_403940546_2_0_0__14242&from=searchresults,King Suite with Balcony 1 king bed Private suite 40 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | King Suite with Balcony | 1 king bed | Private suite 40 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof More | Private suite 40 m² Balcony Air conditioning Private bathroom Flat-screen TV Soundproof | Private suite | 40 m² | Balcony | Air conditioning | Private bathroom | Flat-screen TV | Soundproof | More,N/A,"EGP 12,514",N/A
