Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Twin Room We have 6 left 2 twin beds 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar Shower Safe Bidet Toilet Towels Linens Socket near the bed Tile/Marble floor Desk Sitting area Private entrance Refrigerator Telephone Ironing facilities Satellite channels Tea/Coffee maker Heating Hairdryer Electric kettle Outdoor furniture Outdoor dining area Cable channels Wake-up service Dryer Wardrobe or closet Upper floors accessible by stairs only Clothes rack Toilet paper Child safety socket covers Hand sanitizer | Twin Room | We have 6 left | 2 twin beds | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar Shower Safe Bidet Toilet Towels Linens Socket near the bed Tile/Marble floor Desk Sitting area Private entrance Refrigerator Telephone Ironing facilities Satellite channels Tea/Coffee maker Heating Hairdryer Electric kettle Outdoor furniture Outdoor dining area Cable channels Wake-up service Dryer Wardrobe or closet Upper floors accessible by stairs only Clothes rack Toilet paper Child safety socket covers Hand sanitizer | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 16 m² | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | Shower Safe Bidet Toilet Towels Linens Socket near the bed Tile/Marble floor Desk Sitting area Private entrance Refrigerator Telephone Ironing facilities Satellite channels Tea/Coffee maker Heating Hairdryer Electric kettle Outdoor furniture Outdoor dining area Cable channels Wake-up service Dryer Wardrobe or closet Upper floors accessible by stairs only Clothes rack Toilet paper Child safety socket covers Hand sanitizer | Shower | Safe | Bidet | Toilet | Towels | Linens | Socket near the bed | Tile/Marble floor | Desk | Sitting area | Private entrance | Refrigerator | Telephone | Ironing facilities | Satellite channels | Tea/Coffee maker | Heating | Hairdryer | Electric kettle | Outdoor furniture | Outdoor dining area | Cable channels | Wake-up service | Dryer | Wardrobe or closet | Upper floors accessible by stairs only | Clothes rack | Toilet paper | Child safety socket covers | Hand sanitizer,N/A,"EGP 10,040",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,N/A,Max. people: 1 | Max. people: 3,"EGP 10,913 | EGP 9,036 | EGP 9,822 | EGP 10,428 | EGP 14,551 | EGP 9,700",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Double Room We have 4 left 1 full bed 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Double Room | We have 4 left | 1 full bed | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | 16 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 16 m² | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 10,040",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Triple Room We have 6 left 3 twin beds 20 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Triple Room | We have 6 left | 3 twin beds | 20 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | 20 m² Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | 20 m² | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 13,387",N/A
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=24397805_338394725_2_41_0&highlighted_blocks=24397805_338394725_2_41_0&matching_block_id=24397805_338394725_2_41_0&sr_pri_blocks=24397805_338394725_2_41_0__19044&from=searchresults,Single Room We have 1 left 1 twin bed Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Single Room | We have 1 left | 1 twin bed | Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar More | Balcony Mountain view Landmark view City view River view Bathtub Air conditioning Private bathroom Flat-screen TV Terrace Minibar | Balcony | Mountain view | Landmark view | City view | River view | Bathtub | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | More,N/A,"EGP 8,924",N/A
Jolie Ville Hotel & Spa Kings Island Luxor,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1614918_373900437_2_41_0&highlighted_blocks=1614918_373900437_2_41_0&matching_block_id=1614918_373900437_2_41_0&sr_pri_blocks=1614918_373900437_2_41_0__39188&from=searchresults,Standard Room Gardens View Select your bed (if available) 2 twin beds 1 full bed 1 room 24 m² Garden view Pool view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi Free toiletries Safe Toilet Bathtub or shower Towels Linens Tile/Marble floor Desk TV Slippers Telephone Satellite channels Interconnecting room(s) available Heating Hairdryer Fan Towels/Sheets (extra fee) Carpeted Electric kettle Wake-up service Wardrobe or closet Dining table Toilet paper | Standard Room Gardens View | Select your bed (if available) 2 twin beds 1 full bed | Select your bed (if available) | 2 twin beds | 1 full bed | 1 room 24 m² Garden view Pool view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi Free toiletries Safe Toilet Bathtub or shower Towels Linens Tile/Marble floor Desk TV Slippers Telephone Satellite channels Interconnecting room(s) available Heating Hairdryer Fan Towels/Sheets (extra fee) Carpeted Electric kettle Wake-up service Wardrobe or closet Dining table Toilet paper | 1 room 24 m² Garden view Pool view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi | 1 room | 24 m² | Garden view | Pool view | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | Free Wifi | Free toiletries Safe Toilet Bathtub or shower Towels Linens Tile/Marble floor Desk TV Slippers Telephone Satellite channels Interconnecting room(s) available Heating Hairdryer Fan Towels/Sheets (extra fee) Carpeted Electric kettle Wake-up service Wardrobe or closet Dining table Toilet paper | Free toiletries | Safe | Toilet | Bathtub or shower | Towels | Linens | Tile/Marble floor | Desk | TV | Slippers | Telephone | Satellite channels | Interconnecting room(s) available | Heating | Hairdryer | Fan | Towels/Sheets (extra fee) | Carpeted | Electric kettle | Wake-up service | Wardrobe or closet | Dining table | Toilet paper,N/A,"EGP 20,660",N/A
Jolie Ville Hotel & Spa Kings Island Luxor,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1614918_373900437_2_41_0&highlighted_blocks=1614918_373900437_2_41_0&matching_block_id=1614918_373900437_2_41_0&sr_pri_blocks=1614918_373900437_2_41_0__39188&from=searchresults,N/A,Max. people: 1 | Max. people: 2,"EGP 28,924 | EGP 15,496 | EGP 21,694 | EGP 31,741 | EGP 17,607 | EGP 23,805 | EGP 34,558 | EGP 19,720 | EGP 25,919 | EGP 39,336 | EGP 51,462 | EGP 32,399 | EGP 38,597 | EGP 62,730 | EGP 40,849 | EGP 47,049 | EGP 106,957 | EGP 113,677 | EGP 122,376 | EGP 74,516 | EGP 80,218 | EGP 85,258 | EGP 91,782",N/A
Jolie Ville Hotel & Spa Kings Island Luxor,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1614918_373900437_2_41_0&highlighted_blocks=1614918_373900437_2_41_0&matching_block_id=1614918_373900437_2_41_0&sr_pri_blocks=1614918_373900437_2_41_0__39188&from=searchresults,Deluxe Room Gardens View Select your bed (if available) 2 twin beds 1 full bed 1 room 43 m² Balcony Garden view Pool view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi More | Deluxe Room Gardens View | Select your bed (if available) 2 twin beds 1 full bed | Select your bed (if available) | 2 twin beds | 1 full bed | 1 room 43 m² Balcony Garden view Pool view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi More | 1 room 43 m² Balcony Garden view Pool view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi | 1 room | 43 m² | Balcony | Garden view | Pool view | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | Free Wifi | More,N/A,"EGP 23,477",N/A
Jolie Ville Hotel & Spa Kings Island Luxor,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1614918_373900437_2_41_0&highlighted_blocks=1614918_373900437_2_41_0&matching_block_id=1614918_373900437_2_41_0&sr_pri_blocks=1614918_373900437_2_41_0__39188&from=searchresults,Deluxe Room Nile View Select your bed (if available) 2 twin beds 1 full bed 1 room 43 m² Balcony River view Air conditioning Private bathroom Flat-screen TV Minibar Free Wifi More | Deluxe Room Nile View | Select your bed (if available) 2 twin beds 1 full bed | Select your bed (if available) | 2 twin beds | 1 full bed | 1 room 43 m² Balcony River view Air conditioning Private bathroom Flat-screen TV Minibar Free Wifi More | 1 room 43 m² Balcony River view Air conditioning Private bathroom Flat-screen TV Minibar Free Wifi | 1 room | 43 m² | Balcony | River view | Air conditioning | Private bathroom | Flat-screen TV | Minibar | Free Wifi | More,N/A,"EGP 26,294",N/A
Jolie Ville Hotel & Spa Kings Island Luxor,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9sdXhvckgxWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCuZiB0AbAAgHSAiQ0NTYxNDYyOC05YTViLTRmOGMtYTQwZi1lNTUyZTQ0OTBkYjnYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=10fe40dc5b7b0092&srepoch=1778404416&all_sr_blocks=1614918_373900437_2_41_0&highlighted_blocks=1614918_373900437_2_41_0&matching_block_id=1614918_373900437_2_41_0&sr_pri_blocks=1614918_373900437_2_41_0__39188&from=searchresults,Family Room / Quadruple Room 2 twin beds and 1 full bed 1 room 48 m² Garden view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi More | Family Room / Quadruple Room | 2 twin beds and 1 full bed | 2 twin beds and | 2 twin beds | 1 full bed | 1 room 48 m² Garden view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi More | 1 room 48 m² Garden view Air conditioning Private bathroom Flat-screen TV Terrace Minibar Free Wifi | 1 room | 48 m² | Garden view | Air conditioning | Private bathroom | Flat-screen TV | Terrace | Minibar | Free Wifi | More,N/A,"EGP 28,097",N/A
