Hotel Name,Hotel URL,Room type,Number of guests,Price for 5 nights,Your choices
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Standard Room 43 m² Free Wifi | Standard Room | 43 m² Free Wifi | 43 m² | Free Wifi,N/A,"EGP 20,395",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,N/A,Max. people: 2,"EGP 21,361 | EGP 23,061 | EGP 23,994 | EGP 26,660 | EGP 30,392 | EGP 23,947 | EGP 25,327 | EGP 29,326 | EGP 33,058 | EGP 25,808 | EGP 26,913 | EGP 28,526 | EGP 31,192 | EGP 34,925 | EGP 36,657 | EGP 39,990 | EGP 42,656 | EGP 46,388 | EGP 38,924 | EGP 45,322 | EGP 49,054 | EGP 40,057 | EGP 43,989 | EGP 46,655 | EGP 50,387",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,King Standard Garden View Balcony 1 king bed 43 m² Free Wifi | King Standard Garden View Balcony | 1 king bed | 43 m² Free Wifi | 43 m² | Free Wifi,N/A,"EGP 20,395",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Standard Twin Room with Balcony and Sea View 2 twin beds 43 m² Free Wifi | Standard Twin Room with Balcony and Sea View | 2 twin beds | 43 m² Free Wifi | 43 m² | Free Wifi,N/A,"EGP 22,661",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Standard King Room with Balcony and Sea View 1 king bed 43 m² Free Wifi | Standard King Room with Balcony and Sea View | 1 king bed | 43 m² Free Wifi | 43 m² | Free Wifi,N/A,"EGP 22,661",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Standard King Room with Balcony - Seafront We have 7 left 1 king bed 43 m² Free Wifi | Standard King Room with Balcony - Seafront | We have 7 left | 1 king bed | 43 m² Free Wifi | 43 m² | Free Wifi,N/A,"EGP 24,247",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Standard Twin Room with Seafront and Balcony 2 twin beds 43 m² Free Wifi | Standard Twin Room with Seafront and Balcony | 2 twin beds | 43 m² Free Wifi | 43 m² | Free Wifi,N/A,"EGP 24,247",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,One Bedroom Seaview Suite with Balcony We have 4 left 1 king bed Private suite 72 m² Free Wifi | One Bedroom Seaview Suite with Balcony | We have 4 left | 1 king bed | Private suite 72 m² Free Wifi | Private suite | 72 m² | Free Wifi,N/A,"EGP 33,991",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Family Room with Garden View and Balcony 2 twin beds and 1 king bed 61 m² Free Wifi | Family Room with Garden View and Balcony | 2 twin beds and 1 king bed | 2 twin beds and | 2 twin beds | 1 king bed | 61 m² Free Wifi | 61 m² | Free Wifi,N/A,"EGP 36,258",N/A
Continental Plaza Beach Resort,https://www.booking.com/hotel/eg/continental-plaza-beach-resort.html?aid=304142&label=gen173nr-10CAQoggJCFnNlYXJjaF9zaGFybSBlbCBzaGVpa2hIMVgEaEOIAQGYATO4ARfIAQzYAQPoAQH4AQGIAgGoAgG4AoDPstAGwAIB0gIkYjgzNmUxNGUtNTdkNy00Y2IyLTg1YjctZjcxNjYyNTFiMGNi2AIB4AIB&ucfs=1&arphpl=1&checkin=2026-07-10&checkout=2026-07-15&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7cf97fc0bd900bb9&srepoch=1779214214&all_sr_blocks=31016567_406265420_2_0_0&highlighted_blocks=31016567_406265420_2_0_0&matching_block_id=31016567_406265420_2_0_0&sr_pri_blocks=31016567_406265420_2_0_0__38250&from=searchresults,Family Room with Pool View and Balcony 2 twin beds and 1 king bed 61 m² Free Wifi | Family Room with Pool View and Balcony | 2 twin beds and 1 king bed | 2 twin beds and | 2 twin beds | 1 king bed | 61 m² Free Wifi | 61 m² | Free Wifi,N/A,"EGP 37,391",N/A
