Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
Burger King,"inSemouha,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/679502/burger-king-semouha?aid=7177,83,"[275.0, 110.0, 299.0, 110.0, 70.0, 205.0, 219.0, 219.0, 299.0, 219.0, 375.0, 275.0, 299.0, 219.0, 219.0, 299.0, 219.0, 310.0, 310.0, 375.0, 260.0, 300.0, 299.0, 400.0, 309.0, 360.0, 219.0, 205.0, 429.0, 460.0, 299.0, 380.0, 309.0, 309.0, 275.0, 259.0, 159.0, 470.0, 360.0, 110.0, 100.0, 60.0, 80.0, 90.0, 150.0, 110.0, 130.0, 60.0, 25.0, 60.0, 60.0, 55.0, 25.0, 25.0, 60.0, 70.0, 70.0, 340.0, 369.0, 400.0, 410.0, 300.0, 250.0, 250.0, 249.0, 249.0, 320.0, 199.0, 215.0, 239.0, 99.0, 60.0, 70.0, 249.0, 239.0, 159.0, 145.0, 140.0, 120.0, 140.0, 140.0]",25.0,470.0,218.23456790123456
AVE Cafe,"inBab Sharq,Egypt",coffee & tea,https://www.talabat.com/egypt/restaurant/778718/ave-cafe-el-hadara?aid=7177,47,"[220.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 285.0, 205.0, 250.0, 160.0, 160.0, 150.0, 185.0, 170.0, 160.0, 160.0, 150.0, 140.0, 150.0, 185.0, 220.0, 220.0, 180.0, 180.0, 185.0, 220.0, 250.0, 285.0, 285.0, 250.0, 70.0, 115.0]",70.0,285.0,219.07894736842104
Papa John's Pizza,"inAnwar El Sadat,Egypt","Pizza, Fast Food, Pizza",https://www.talabat.com/egypt/restaurant/502903/papa-johns-pizza--raml-station?aid=7177,72,"[200.0, 520.0, 300.0, 460.0, 460.0, 420.0, 625.01, 170.0, 120.0, 200.0, 130.01, 200.0, 170.0, 165.0, 86.0, 111.0, 56.0, 188.0, 165.0, 165.0, 95.0, 135.0, 218.0, 218.0, 218.0, 188.0, 188.0, 165.0, 135.0, 135.0, 10.0, 2.0, 110.0, 79.0, 95.0, 25.0, 60.0, 35.0, 20.0]",2.0,625.01,180.5646153846154
Buffalo Burger,"inMostafa Kamel,Egypt","Burgers, Sandwiches",https://www.talabat.com/egypt/restaurant/503415/buffalo-burger-mostafa-kamel--tgo?aid=7177,82,"[326.0, 189.0, 525.0, 189.0, 265.0, 525.0, 950.0, 189.0, 299.0, 225.0, 162.0, 162.0, 167.0, 183.0, 183.0, 224.0, 224.0, 250.0, 250.0, 255.0, 271.0, 271.0, 312.0, 312.0, 227.0, 252.0, 226.0, 221.0, 274.0, 281.0, 222.0, 252.0, 227.0, 287.0, 276.0, 216.0, 238.0, 315.0, 340.0, 314.0, 309.0, 362.0, 369.0, 310.0, 340.0, 315.0, 375.0, 364.0, 304.0, 326.0, 305.0, 210.0, 225.0, 210.0, 270.0, 298.0, 313.0, 298.0, 358.0, 260.0, 138.0, 63.0, 68.0, 112.0, 87.0, 106.0, 149.0, 113.0, 49.0, 113.0, 15.0, 30.0, 15.0, 15.0, 15.0, 3.0, 15.0, 10.0, 110.0, 110.0, 16.0, 42.0]",3.0,950.0,226.71951219512195
Pastaweesy,"inMostafa Kamel,Egypt","Pasta, Sandwiches, Sandwiches, Burgers",https://www.talabat.com/egypt/restaurant/502291/pastaweesy-mostafa-kamel?aid=7177,79,"[55.0, 32.0, 741.0, 213.0, 281.0, 271.0, 321.0, 147.0, 211.0, 789.0, 284.0, 259.0, 741.0, 213.0, 281.0, 271.0, 321.0, 147.0, 211.0, 789.0, 284.0, 259.0, 290.0, 620.0, 347.0, 420.0, 125.0, 140.0, 125.0, 135.0, 165.0, 15.0, 23.0, 118.0, 66.0, 15.0, 55.0, 108.0, 108.0, 69.0, 83.0, 79.0, 108.0, 15.0, 95.0, 84.0, 95.0, 95.0, 15.0, 23.0, 23.0, 32.0, 32.0, 32.0, 32.0]",15.0,789.0,198.3272727272727
Sultan Ayub,"inAzarita,Egypt","Shawerma, Sandwiches, Grills, Chicken",https://www.talabat.com/egypt/restaurant/503672/sultan-ayub--azarita?aid=7177,113,"[45.98, 38.53, 274.85, 249.0, 249.0, 205.45, 230.0, 131.68, 136.85, 137.94, 243.22, 302.45, 159.45, 140.0, 217.5, 250.12, 159.45, 158.13, 498.18, 485.07, 485.07, 458.85, 319.0, 196.65, 546.25, 274.85, 723.35, 1540.0, 1625.0, 486.45, 423.0, 486.45, 741.0, 663.55, 626.75, 33.35, 38.53, 45.98, 38.53, 16.1, 40.83, 45.98, 52.32, 72.45, 71.3, 65.55, 131.1, 91.77, 68.4, 9.2, 9.2, 9.2, 20.13, 40.82, 35.65, 30.48, 9.2, 20.13, 59.23, 136.85, 45.98, 72.45, 72.45, 97.75, 59.23, 59.23, 45.6, 53.76, 14.95, 26.45, 30.0]",9.2,1625.0,220.83380281690145
Osha Sushi,"inSidi Gaber,Egypt","Sushi, Chinese, Asian, Seafood",https://www.talabat.com/egypt/restaurant/734512/osha-sushi-sidi-gaber?aid=7177,175,"[550.0, 350.0, 280.0, 590.0, 185.0, 150.0, 550.0, 900.0, 1400.0, 350.0, 590.0, 899.0, 1249.0, 550.0, 900.0, 1400.0, 205.0, 185.0, 285.0, 265.0, 270.0, 250.0, 300.0, 230.0, 260.0, 270.0, 280.0, 275.0, 310.0, 295.0, 285.0, 205.0, 195.0, 170.0, 215.0, 230.0, 70.0, 60.0, 65.0, 50.0, 75.0, 150.0, 160.0, 135.0, 145.0, 145.0, 150.0, 115.0, 150.0, 280.0, 590.0, 799.0, 359.0, 439.0, 749.0, 1099.0, 1349.0, 1649.0, 1999.0, 170.0, 170.0, 170.0, 170.0, 170.0, 170.0, 155.0, 170.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 160.0, 170.0, 170.0, 185.0, 150.0, 115.0, 150.0, 260.0, 260.0, 250.0, 185.0, 205.0, 250.0, 155.0, 175.0, 185.0, 195.0, 95.0, 120.0, 125.0, 230.0, 230.0, 95.0, 115.0, 115.0, 115.0, 125.0, 140.0, 40.0, 35.0, 47.0, 47.0, 47.0, 47.0, 52.0, 200.0, 239.0, 239.0, 250.0, 180.0, 250.0, 250.0, 240.0, 265.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 40.0, 30.0, 30.0, 30.0, 66.0, 66.0, 66.0, 78.0, 48.0, 52.0, 58.0, 58.0, 58.0, 58.0, 64.0, 72.0, 58.0, 58.0, 60.0, 66.0, 70.0, 70.0, 76.0, 12.0, 48.0, 99.0]",12.0,1999.0,253.98657718120805
Hadarmawot El Sultan,"inSemouha,Egypt","Grills, Mandi, Chicken, Arabic, Indian, Sandwiches",https://www.talabat.com/egypt/restaurant/626025/hadarmawot--semouhasemouha?aid=7177,127,"[330.0, 220.0, 87.0, 243.0, 400.0, 350.0, 350.0, 450.0, 455.0, 450.0, 290.0, 350.0, 450.0, 340.0, 375.0, 410.0, 220.0, 330.0, 240.0, 87.0, 243.0, 400.0, 350.0, 350.0, 450.0, 455.0, 450.0, 290.0, 350.0, 450.0, 340.0, 375.0, 410.0, 260.0, 290.0, 620.0, 520.0, 590.0, 800.0, 950.0, 1400.0, 1750.0, 2500.0, 2300.0, 3350.0, 4000.0, 220.0, 330.0, 520.0, 590.0, 190.0, 240.0, 275.0, 530.0, 600.0, 580.0, 650.0, 500.0, 190.0, 420.0, 440.0, 250.0, 520.0, 45.0, 45.0, 45.0, 75.0, 75.0, 85.0, 300.0, 90.0, 310.0, 87.0, 95.0, 90.0, 90.0, 190.0, 420.0, 400.0, 105.0, 105.0, 105.0, 105.0, 105.0, 125.0, 90.0, 70.0, 55.0, 60.0, 270.0, 45.0, 45.0, 25.0, 45.0, 45.0, 45.0, 45.0, 45.0, 35.0, 45.0, 45.0, 25.0, 35.0, 35.0, 50.0, 20.0, 30.0]",20.0,4000.0,392.6355140186916
KFC,"inSemouha,Egypt","Fried chicken, Sandwiches, Fast Food, Chicken",https://www.talabat.com/egypt/restaurant/737012/kfc-semoha-kfctgo?aid=7177,117,"[109.0, 65.0, 40.0, 299.0, 110.0, 334.0, 288.0, 288.0, 375.0, 375.0, 299.0, 430.0, 630.0, 334.0, 240.0, 340.0, 510.0, 340.0, 255.0, 189.0, 210.0, 200.0, 240.0, 360.0, 446.0, 445.0, 535.0, 189.0, 255.0, 210.0, 180.0, 180.0, 288.0, 260.0, 288.0, 260.0, 375.0, 375.0, 299.0, 430.0, 630.0, 334.0, 240.0, 340.0, 510.0, 340.0, 255.0, 189.0, 210.0, 200.0, 240.0, 360.0, 294.0, 446.0, 445.0, 535.0, 399.0, 205.0, 350.0, 189.0, 695.0, 920.0, 545.0, 770.0, 725.0, 840.0, 950.0, 1055.0, 810.0, 660.0, 1025.0, 875.0, 629.0, 685.0, 255.0, 325.0, 149.0, 210.0, 215.0, 245.0, 250.0, 255.0, 285.0, 255.0, 155.0, 170.0, 155.0, 110.0, 110.0, 110.0, 205.0, 210.0, 210.0, 125.0, 125.0, 65.0, 40.0, 30.0, 60.0, 3.0, 90.0, 130.0, 110.0, 180.0, 109.0, 90.0, 90.0, 125.0, 65.0, 40.0, 7.0, 84.0, 84.0, 35.0, 35.0, 35.0, 34.0]",3.0,1055.0,302.9059829059829
Harest El Halaby,"inManshia,Egypt","Arabic sweets, Desserts",https://www.talabat.com/egypt/restaurant/641112/harest-el-halaby-manshia?aid=7177,52,"[18.0, 210.0, 225.0, 225.0, 55.0, 75.0, 440.0, 500.0, 100.0, 18.0, 90.0, 60.0, 60.0, 35.0, 80.0, 100.0, 110.0, 110.0, 110.0, 110.0, 220.0]",18.0,500.0,140.52380952380952
