Restaurant,Location,Cuisines,URL,Total_Items,Prices_List,Min_Price,Max_Price,Avg_Price
Heart Attack,"inAl Manial,Egypt","Fried chicken, Sandwiches, Burgers",https://www.talabat.com/egypt/restaurant/639933/heart-attack-al-manial-tgo?aid=7766,119,"[15.0, 70.0, 70.0, 70.0, 70.0, 270.0, 380.0, 350.0, 450.0, 270.0, 450.0, 270.0, 360.0, 180.0, 380.0, 195.0, 225.0, 350.0, 230.0, 230.0, 200.0, 245.0, 200.0, 195.0, 195.0, 200.0, 110.0, 195.0, 195.0, 135.0, 110.0, 110.0, 110.0, 110.0, 220.0, 95.0, 320.0, 170.0, 230.0, 395.0, 780.0, 400.0, 610.0, 755.0, 1000.0, 1070.0, 380.0, 170.0, 180.0, 350.0, 490.0, 450.0, 270.0, 450.0, 270.0, 360.0, 180.0, 380.0, 195.0, 225.0, 350.0, 170.0, 170.0, 170.0, 170.0, 230.0, 230.0, 200.0, 245.0, 200.0, 195.0, 195.0, 200.0, 110.0, 195.0, 195.0, 135.0, 110.0, 110.0, 110.0, 110.0, 220.0, 95.0, 320.0, 170.0, 230.0, 395.0, 780.0, 400.0, 610.0, 755.0, 1000.0, 1070.0, 110.0, 110.0, 125.0, 235.0, 65.0, 90.0, 100.0, 90.0, 65.0, 125.0, 100.0, 5.0, 50.0, 60.0, 70.0, 70.0, 200.0, 70.0, 50.0, 30.0, 70.0, 50.0, 15.0, 30.0, 30.0, 15.0]",5.0,1070.0,247.60504201680672
Happy Dolphin,"inAl Manial,Egypt","International, Grills, Sandwiches, Pizza",https://www.talabat.com/egypt/restaurant/505206/happy-dolphin-al-manial?aid=7766,130,"[274.9, 241.4, 326.8, 285.0, 114.0, 68.4, 274.9, 326.8, 241.4, 292.41, 246.24, 400.14, 300.1, 180.0, 207.0, 240.0, 227.0, 136.8, 274.9, 326.8, 241.4, 292.41, 246.24, 400.14, 300.1, 182.4, 114.0, 96.9, 136.8, 136.8, 114.0, 136.8, 136.8, 79.8, 91.2, 79.8, 79.8, 210.9, 68.4, 68.4, 57.0, 68.4, 68.4, 68.4, 68.4, 68.4, 57.0, 68.4, 57.0, 28.5, 180.0, 207.0, 240.0, 227.0, 165.3, 142.5, 114.0, 119.7, 85.5, 199.5, 136.3, 136.3, 114.0, 148.2, 114.0, 91.2, 108.3, 148.2, 228.0, 148.2, 159.6, 239.4, 193.8, 307.8, 171.0, 250.8, 250.8, 127.2, 108.3, 226.86, 125.4, 142.5, 421.8, 433.2, 427.5, 387.6, 250.8, 399.0, 427.5, 285.0, 256.5, 313.5, 399.0, 399.0, 313.5, 296.4, 324.0, 250.0, 285.0, 456.0, 285.0, 524.4, 524.4, 399.0, 558.6, 433.2, 125.4, 142.5, 296.4, 57.0, 171.0, 91.2, 57.0, 125.4, 45.0, 51.4, 96.9, 85.5, 68.4, 79.8, 79.8, 79.8, 79.8, 79.8, 79.8, 79.4, 34.2, 34.2, 34.2, 45.6]",28.5,558.6,194.87723076923078
Cairo Kitchen,"inZamalek - 26 July,Egypt","Egyptian, Grills, Grills",https://www.talabat.com/egypt/restaurant/502417/cairo-kitchen-zamalek?aid=7766,81,"[68.4, 62.7, 153.9, 62.7, 62.7, 91.2, 159.6, 62.7, 74.1, 74.1, 74.1, 74.1, 74.1, 62.7, 102.6, 45.6, 74.1, 96.9, 108.3, 114.0, 171.0, 102.6, 79.8, 228.0, 627.0, 364.8, 627.0, 342.0, 342.0, 399.0, 399.0, 342.0, 216.6, 399.0, 342.0, 342.0, 216.6, 342.0, 399.0, 342.0, 399.0, 627.0, 399.0, 399.0, 342.0, 399.0, 364.8, 153.9, 285.0, 399.0, 182.4, 199.5, 342.0, 114.0, 79.8, 79.8, 62.7, 17.1, 79.8, 74.1, 17.1, 68.4, 68.4, 74.1, 74.1, 74.1, 74.1, 74.1, 74.1, 74.1, 74.1, 51.3, 51.3, 51.3, 22.8, 51.3, 285.0]",17.1,627.0,189.35844155844157
Burger King,"inAl Manial,Egypt","Burgers, Fast Food",https://www.talabat.com/egypt/restaurant/507781/burger-king-al-manial?aid=7766,93,"[205.0, 299.0, 275.0, 70.0, 110.0, 110.0, 275.0, 299.0, 219.0, 219.0, 299.0, 219.0, 315.0, 375.0, 290.0, 840.0, 560.0, 275.0, 299.0, 219.0, 219.0, 299.0, 219.0, 310.0, 310.0, 315.0, 375.0, 260.0, 300.0, 290.0, 840.0, 560.0, 299.0, 400.0, 309.0, 360.0, 219.0, 315.0, 205.0, 429.0, 435.0, 460.0, 299.0, 380.0, 309.0, 309.0, 275.0, 259.0, 159.0, 470.0, 360.0, 110.0, 100.0, 75.0, 120.0, 60.0, 80.0, 90.0, 150.0, 110.0, 130.0, 60.0, 25.0, 60.0, 25.0, 25.0, 60.0, 340.0, 369.0, 375.0, 400.0, 410.0, 300.0, 250.0, 250.0, 249.0, 249.0, 320.0, 199.0, 215.0, 239.0, 99.0, 60.0, 70.0, 249.0, 239.0, 159.0, 145.0, 140.0, 120.0, 140.0, 140.0]",25.0,840.0,253.54347826086956
Pizza Master,"inDowntown - Magales El Sha'ab,Egypt","Pizza, Fast Food, Pasta, Pizza",https://www.talabat.com/egypt/restaurant/518625/pizza-master-downtown-magales-el-shaab?aid=7766,65,"[800.0, 700.0, 1100.0, 280.0, 900.0, 280.0, 700.0, 900.0, 800.0, 1100.0, 280.0, 700.0, 900.0, 800.0, 1100.0, 100.0, 210.0, 55.0, 110.0, 75.0, 35.0, 50.0]",35.0,1100.0,544.3181818181819
Abu Auf,"inAl Manial,Egypt","Grocery, Healthy , Nuts & Dried Fruit, Beverages, Coffee & Tea, Convenience Store, Roastery, Chocolate, Snacks",https://www.talabat.com/egypt/restaurant/702872/abu-auf-al-manial?aid=7766,172,"[144.5, 72.5, 30.0, 20.0, 121.0, 65.0, 352.0, 352.0, 391.0, 319.0, 380.0, 300.0, 300.0, 415.0, 353.0, 199.0, 308.0, 353.0, 303.0, 290.0, 110.0, 110.0, 144.0, 290.0, 90.0, 100.0, 140.0, 286.0, 155.0, 72.0, 353.0, 308.0, 308.0, 220.0, 275.0, 220.0, 220.0, 500.0, 160.0, 200.0, 352.0, 352.0, 391.0, 319.0, 156.0, 146.5, 156.5, 198.0, 156.0, 253.0, 253.0, 380.0, 156.5, 156.0, 236.5, 156.5, 156.5, 146.5, 146.5, 156.0, 236.5, 156.0, 132.0, 144.5, 121.0, 176.0, 198.0, 231.0, 132.0, 132.0, 25.0, 25.0, 25.0, 75.0, 90.0, 90.0, 90.0, 30.0, 30.0, 30.0, 155.0, 155.0, 155.0, 155.0, 120.0, 120.0, 120.0, 120.0, 120.0, 30.0, 90.0, 75.0, 25.0, 25.0, 300.0, 25.0, 300.0, 25.0, 155.0, 90.0, 55.0, 55.0, 55.0, 55.0, 55.0, 30.0, 30.0, 30.0, 15.0, 15.0, 15.0, 45.0, 62.0, 62.0, 35.0, 35.0, 27.0, 20.0, 20.0, 45.0, 45.0, 45.0, 30.0, 30.0, 30.0, 8.0, 8.0, 33.0, 33.0, 33.0, 33.0, 11.0, 11.0, 20.0, 20.0, 20.0, 38.5, 35.5, 17.0, 17.0, 11.0, 65.0, 50.0, 50.0, 150.0, 50.0, 45.0, 45.0, 45.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 65.0, 195.0, 220.0, 195.0, 220.0, 220.0, 40.5, 25.0, 72.5, 68.0, 126.5, 121.0, 130.0, 45.0, 415.0, 40.0, 40.0]",8.0,500.0,131.9796511627907
Mo'men,"inAl Manial,Egypt","Sandwiches, Fish & Seafood, Burgers, Chicken",https://www.talabat.com/egypt/restaurant/502351/momen-al-manial?aid=7766,117,"[406.0, 430.0, 250.0, 40.0, 406.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 406.0, 376.5, 427.5, 240.0, 980.0, 430.0, 250.0, 240.0, 333.0, 331.0, 339.0, 392.0, 500.0, 639.0, 531.0, 746.0, 800.0, 923.0, 451.0, 262.2, 262.2, 257.0, 188.1, 188.1, 199.5, 216.6, 216.6, 308.0, 63.0, 68.0, 313.5, 279.3, 256.5, 313.51, 256.5, 239.4, 57.0, 17.0, 17.0, 46.0, 137.0, 63.0, 86.0, 86.0, 74.0, 74.0, 80.0, 60.5, 17.0, 17.0, 17.0, 17.0, 19.0, 23.0, 17.0, 40.0, 63.0, 154.0, 97.0, 103.0, 131.0, 80.0, 74.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0, 13.0]",13.0,980.0,267.8723333333333
Pizza King,"inAl Manial,Egypt","Pizza, Pasta, Pizza, Italian",https://www.talabat.com/egypt/restaurant/502838/pizza-king-al-manial?aid=7766,162,"[350.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 246.0, 642.0, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 350.0, 364.29, 366.67, 239.4, 324.9, 239.4, 324.9, 496.0, 710.0, 356.0, 371.0, 363.0, 431.0, 631.0, 993.0, 1016.0, 331.0, 246.0, 642.0, 251.0, 359.0, 336.0, 444.6, 400.0, 477.0, 554.0, 616.0, 862.0, 577.0, 662.0, 723.0, 816.0, 1108.0, 623.0, 731.0, 854.0, 1008.0, 1239.0, 585.0, 662.0, 739.0, 846.0, 1123.0, 165.0, 165.0, 188.0, 171.0, 103.0, 103.0, 160.0, 154.0, 154.0, 148.0, 143.0, 143.0, 143.0, 148.0, 148.0, 148.0, 148.0, 188.0, 188.0, 137.0, 60.0, 74.0, 74.0, 68.0, 80.0, 80.0, 63.0, 137.0, 91.0, 142.5, 63.0, 63.0, 40.0, 51.0, 136.0, 57.0, 46.0, 23.0, 19.0, 17.0, 17.0, 17.0, 14.0, 17.0, 80.0, 74.0, 80.0, 80.0, 29.0, 33.0, 33.0, 33.0, 33.0, 52.0, 27.0]",14.0,1239.0,401.1911627906977
Abdel Rahim Koueider,"inAl Manial,Egypt","Desserts, Cakes and Desserts, Bakery & Pastry, Arabic sweets, Cakes, Chocolate, bakery & pastry, Ice cream",https://www.talabat.com/egypt/restaurant/687594/abdel-rahim-koueider-al-manial?aid=7766,166,"[70.0, 70.0, 60.0, 130.0, 90.0, 100.0, 90.0, 145.0, 160.0, 15.0, 1045.0, 640.0, 715.0, 605.0, 545.0, 440.0, 440.0, 605.0, 120.0, 125.0, 25.0, 25.0, 20.0, 135.0, 135.0, 135.0, 65.0, 65.0, 550.0, 75.0, 380.0, 150.0, 45.0, 135.0, 60.0, 60.0, 340.0, 485.0, 113.0, 475.0, 550.0, 695.0, 1450.0, 265.0, 1090.0, 640.0, 780.0, 525.0, 485.0, 600.0, 375.0, 810.0, 750.0, 615.0, 740.0, 495.0, 810.0, 60.0, 80.0, 90.0, 65.0, 70.0, 65.0, 715.0, 90.0, 70.0, 70.0, 60.0, 55.0, 60.0, 160.0, 90.0, 40.0, 40.0, 35.0, 45.0, 40.0, 45.0, 55.0, 55.0, 85.0, 1100.0, 220.0, 160.0, 1100.0, 650.0, 380.0, 1050.0, 400.0, 790.0, 490.0, 950.0, 250.0, 175.0, 140.0, 140.0, 275.0, 1100.0, 275.0, 550.0, 175.0, 240.0, 180.0, 120.0, 240.0, 240.0, 250.0, 180.0, 90.0, 120.0]",15.0,1450.0,323.8909090909091
Mawlay,"inGarden City,Egypt","Arabic, Egyptian",https://www.talabat.com/egypt/restaurant/771138/mawlay-garden-city?aid=7766,83,"[90.0, 380.0, 720.0, 165.0, 350.0, 110.0, 100.0, 100.0, 195.0, 70.0, 165.0, 195.0, 195.0, 195.0, 125.0, 240.0, 150.0, 135.0, 140.0, 140.0, 140.0, 380.0, 720.0, 319.0, 299.0, 299.0, 390.0, 260.0, 350.0, 260.0, 405.0, 510.0, 345.0, 625.0, 535.0, 350.0, 375.0, 310.0, 510.0, 350.0, 410.0, 225.0, 90.0, 440.0, 300.0, 295.0, 125.0, 465.0, 375.0, 420.0, 75.0, 50.0, 50.0, 70.0, 50.0, 55.0, 60.0, 60.0, 45.0, 55.0, 45.0, 60.0, 85.0, 65.0, 75.0, 70.0, 55.0, 165.0, 70.0, 55.0, 95.0, 20.0, 65.0]",20.0,720.0,223.72602739726028
